2016/02/10           Regional Medical Associates - Hamilton            PAGE   1

  Doc  Comp     Amt Net
  Nbr  Code    (SUBTOTAL)
               (SUBTOTAL)

  K87  ABE       1174.05
  L48  ABE       4478.59
  L63  ABE        182.47
  L76  ABE       2003.10
  L83  ABE        745.39
  L90  ABE       2684.01
  L90  ABE       3189.48
  L98  ABE        889.77
  L98  ABE       3314.18
  M16  ABE       1970.00
  M17  ABE       9637.21
  M17  ABE      11711.59
  M23  ABE       2450.35
  M23  ABE       6582.46
  M42  ABE        458.12
  M42  ABE        920.93
  M70  ABE        865.00
  M71  ABE       3234.35
  N13  ABE        639.83
  N13  ABE       3371.90
  N43  ABE        590.23
  N43  ABE       1173.15
  N71  ABE       2240.76
  N71  ABE       3734.95
  N85  ABE        342.23
  N85  ABE       2917.23
  N89  ABE        571.21
  N89  ABE        858.27
  P12  ABE       6599.02
  P18  ABE       2623.00
  P19  ABE       4205.00
  P59  ABE      10016.36
  R42  ABE        435.97
  R42  ABE       1450.22
  R66  ABE       2833.72
  R85  ABE        940.72
  R85  ABE       2448.03
  R98  ABE        721.00
  R98  ABE       2291.00
  T30  ABE       1039.20
  T30  ABE       1749.75
  T68  ABE       2828.49
  T68  ABE       6013.49
  T99  ABE       1858.85
  V21  ABE       2425.00
  V28  ABE        452.00
  V31  ABE       1570.00
  V63  ABE        936.47
  V63  ABE       1819.83
  V87  ABE       1570.00
  W16  ABE       1458.25
  W31  ABE       4378.00
  W39  ABE        526.78
  W39  ABE       1700.25
  W60  ABE       1570.00
  W64  ABE        300.00
  W72  ABE        297.03
  W85  ABE       3176.69
  W95  ABE       2242.35
  X23  ABE        993.65
  X24  ABE       1570.00
  X28  ABE       1570.00
  X70  ABE        295.00
  Y01  ABE        790.00
  Y01  ABE       5928.75
  Y09  ABE       2190.66
  Y09  ABE       3800.97
  Y10  ABE        875.81
  Y21  ABE       1050.61
  Y22  ABE       1570.00
  Y37  ABE        125.43
  Y37  ABE       4089.71
  Y44  ABE        229.71
  Y44  ABE       3600.46
  Y48  ABE         34.00
  Y48  ABE       5122.28
  Y50  ABE       1281.83
  Y50  ABE       2527.33
  Y52  ABE        500.00
  Y52  ABE        600.00
  Y91  ABE       1175.17
  Y91  ABE       4176.49
